,Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
0,0,female,group B,bachelor's degree,standard,none,72,72,74
1,1,female,group C,some college,standard,completed,69,90,88
2,2,female,group B,master's degree,standard,none,90,95,93
3,3,male,group A,associate's degree,free/reduced,none,47,57,44
4,4,male,group C,some college,standard,none,76,78,75
5,5,female,group B,associate's degree,standard,none,71,83,78
6,6,female,group B,some college,standard,completed,88,95,92
7,7,male,group B,some college,free/reduced,none,40,43,39
8,8,male,group D,high school,free/reduced,completed,64,64,67
9,9,female,group B,high school,free/reduced,none,38,60,50
10,10,male,group C,associate's degree,standard,none,58,54,52
11,11,male,group D,associate's degree,standard,none,40,52,43
12,12,female,group B,high school,standard,none,65,81,73
13,13,male,group A,some college,standard,completed,78,72,70
14,14,female,group A,master's degree,standard,none,50,53,58
15,15,female,group C,some high school,standard,none,69,75,78
16,16,male,group C,high school,standard,none,88,89,86
17,17,female,group B,some high school,free/reduced,none,18,32,28
18,18,male,group C,master's degree,free/reduced,completed,46,42,46
19,19,female,group C,associate's degree,free/reduced,none,54,58,61
20,20,male,group D,high school,standard,none,66,69,63
21,21,female,group B,some college,free/reduced,completed,65,75,70
22,22,male,group D,some college,standard,none,44,54,53
23,23,female,group C,some high school,standard,none,69,73,73
24,24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
25,25,male,group A,master's degree,free/reduced,none,73,74,72
26,26,male,group B,some college,standard,none,69,54,55
27,27,female,group C,bachelor's degree,standard,none,67,69,75
28,28,male,group C,high school,standard,none,70,70,65
29,29,female,group D,master's degree,standard,none,62,70,75
30,30,female,group D,some college,standard,none,69,74,74
31,31,female,group B,some college,standard,none,63,65,61
32,32,female,group E,master's degree,free/reduced,none,56,72,65
33,33,male,group D,some college,standard,none,40,42,38
34,34,male,group E,some college,standard,none,97,87,82
35,35,male,group E,associate's degree,standard,completed,81,81,79
36,36,female,group D,associate's degree,standard,none,74,81,83
37,37,female,group D,some high school,free/reduced,none,50,64,59
38,38,female,group D,associate's degree,free/reduced,completed,75,90,88
39,39,male,group B,associate's degree,free/reduced,none,57,56,57
40,40,male,group C,associate's degree,free/reduced,none,55,61,54
41,41,female,group C,associate's degree,standard,none,58,73,68
42,42,female,group B,associate's degree,standard,none,53,58,65
43,43,male,group B,some college,free/reduced,completed,59,65,66
44,44,female,group E,associate's degree,free/reduced,none,50,56,54
45,45,male,group B,associate's degree,standard,none,65,54,57
46,46,female,group A,associate's degree,standard,completed,55,65,62
47,47,female,group C,high school,standard,none,66,71,76
48,48,female,group D,associate's degree,free/reduced,completed,57,74,76
49,49,male,group C,high school,standard,completed,82,84,82
50,50,male,group E,some college,standard,none,53,55,48
51,51,male,group E,associate's degree,free/reduced,completed,77,69,68
52,52,male,group C,some college,standard,none,53,44,42
53,53,male,group D,high school,standard,none,88,78,75
54,54,female,group C,some high school,free/reduced,completed,71,84,87
55,55,female,group C,high school,free/reduced,none,33,41,43
56,56,female,group E,associate's degree,standard,completed,82,85,86
57,57,male,group D,associate's degree,standard,none,52,55,49
58,58,male,group D,some college,standard,completed,58,59,58
59,59,female,group C,some high school,free/reduced,none,0,17,10
60,60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
61,61,male,group A,some high school,free/reduced,none,39,39,34
62,62,male,group A,associate's degree,free/reduced,none,62,61,55
63,63,female,group C,associate's degree,standard,none,69,80,71
64,64,female,group D,some high school,standard,none,59,58,59
65,65,male,group B,some high school,standard,none,67,64,61
66,66,male,group D,some high school,free/reduced,none,45,37,37
67,67,female,group C,some college,standard,none,60,72,74
68,68,male,group B,associate's degree,free/reduced,none,61,58,56
69,69,female,group C,associate's degree,standard,none,39,64,57
70,70,female,group D,some college,free/reduced,completed,58,63,73
71,71,male,group D,some college,standard,completed,63,55,63
72,72,female,group A,associate's degree,free/reduced,none,41,51,48
73,73,male,group C,some high school,free/reduced,none,61,57,56
74,74,male,group C,some high school,standard,none,49,49,41
75,75,male,group B,associate's degree,free/reduced,none,44,41,38
76,76,male,group E,some high school,standard,none,30,26,22
77,77,male,group A,bachelor's degree,standard,completed,80,78,81
78,78,female,group D,some high school,standard,completed,61,74,72
79,79,female,group E,master's degree,standard,none,62,68,68
80,80,female,group B,associate's degree,standard,none,47,49,50
81,81,male,group B,high school,free/reduced,none,49,45,45
82,82,male,group A,some college,free/reduced,completed,50,47,54
83,83,male,group E,associate's degree,standard,none,72,64,63
84,84,male,group D,high school,free/reduced,none,42,39,34
85,85,female,group C,some college,standard,none,73,80,82
86,86,female,group C,some college,free/reduced,none,76,83,88
87,87,female,group D,associate's degree,standard,none,71,71,74
88,88,female,group A,some college,standard,none,58,70,67
89,89,female,group D,some high school,standard,none,73,86,82
90,90,female,group C,bachelor's degree,standard,none,65,72,74
91,91,male,group C,high school,free/reduced,none,27,34,36
92,92,male,group C,high school,standard,none,71,79,71
93,93,male,group C,associate's degree,free/reduced,completed,43,45,50
94,94,female,group B,some college,standard,none,79,86,92
95,95,male,group C,associate's degree,free/reduced,completed,78,81,82
96,96,male,group B,some high school,standard,completed,65,66,62
97,97,female,group E,some college,standard,completed,63,72,70
98,98,female,group D,some college,free/reduced,none,58,67,62
99,99,female,group D,bachelor's degree,standard,none,65,67,62
100,100,male,group B,some college,standard,none,79,67,67
101,101,male,group D,bachelor's degree,standard,completed,68,74,74
102,102,female,group D,associate's degree,standard,none,85,91,89
103,103,male,group B,high school,standard,completed,60,44,47
104,104,male,group C,some college,standard,completed,98,86,90
105,105,female,group C,some college,standard,none,58,67,72
106,106,female,group D,master's degree,standard,none,87,100,100
107,107,male,group E,associate's degree,standard,completed,66,63,64
108,108,female,group B,associate's degree,free/reduced,none,52,76,70
109,109,female,group B,some high school,standard,none,70,64,72
110,110,female,group D,associate's degree,free/reduced,completed,77,89,98
111,111,male,group C,high school,standard,none,62,55,49
112,112,male,group A,associate's degree,standard,none,54,53,47
113,113,female,group D,some college,standard,none,51,58,54
114,114,female,group E,bachelor's degree,standard,completed,99,100,100
115,115,male,group C,high school,standard,none,84,77,74
116,116,female,group B,bachelor's degree,free/reduced,none,75,85,82
117,117,female,group D,bachelor's degree,standard,none,78,82,79
118,118,female,group D,some high school,standard,none,51,63,61
119,119,female,group C,some college,standard,none,55,69,65
120,120,female,group C,bachelor's degree,standard,completed,79,92,89
121,121,male,group B,associate's degree,standard,completed,91,89,92
122,122,female,group C,some college,standard,completed,88,93,93
123,123,male,group D,high school,free/reduced,none,63,57,56
124,124,male,group E,some college,standard,none,83,80,73
125,125,female,group B,high school,standard,none,87,95,86
126,126,male,group B,some high school,standard,none,72,68,67
127,127,male,group D,some college,standard,completed,65,77,74
128,128,male,group D,master's degree,standard,none,82,82,74
129,129,female,group A,bachelor's degree,standard,none,51,49,51
130,130,male,group D,master's degree,standard,none,89,84,82
131,131,male,group C,some high school,free/reduced,completed,53,37,40
132,132,male,group E,some college,free/reduced,completed,87,74,70
133,133,female,group C,some college,standard,completed,75,81,84
134,134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
135,135,male,group C,bachelor's degree,standard,none,58,55,48
136,136,male,group B,some high school,standard,completed,51,54,41
137,137,male,group E,high school,standard,none,70,55,56
138,138,female,group C,associate's degree,standard,none,59,66,67
139,139,male,group D,some college,standard,completed,71,61,69
140,140,female,group D,some high school,standard,none,76,72,71
141,141,female,group C,some college,free/reduced,none,59,62,64
142,142,female,group E,some college,free/reduced,completed,42,55,54
143,143,male,group A,high school,standard,none,57,43,47
144,144,male,group D,some college,standard,none,88,73,78
145,145,female,group C,some college,free/reduced,none,22,39,33
146,146,male,group B,some high school,standard,none,88,84,75
147,147,male,group C,associate's degree,free/reduced,none,73,68,66
148,148,female,group D,bachelor's degree,standard,completed,68,75,81
149,149,male,group E,associate's degree,free/reduced,completed,100,100,93
150,150,male,group A,some high school,standard,completed,62,67,69
151,151,male,group A,bachelor's degree,standard,none,77,67,68
152,152,female,group B,associate's degree,standard,completed,59,70,66
153,153,male,group D,bachelor's degree,standard,none,54,49,47
154,154,male,group D,some high school,standard,none,62,67,61
155,155,female,group C,some college,standard,completed,70,89,88
156,156,female,group E,high school,free/reduced,completed,66,74,78
157,157,male,group B,some college,free/reduced,none,60,60,60
158,158,female,group B,associate's degree,standard,completed,61,86,87
159,159,male,group D,associate's degree,free/reduced,none,66,62,64
160,160,male,group B,associate's degree,free/reduced,completed,82,78,74
161,161,female,group E,some college,free/reduced,completed,75,88,85
162,162,male,group B,master's degree,free/reduced,none,49,53,52
163,163,male,group C,high school,standard,none,52,53,49
164,164,female,group E,master's degree,standard,none,81,92,91
165,165,female,group C,bachelor's degree,standard,completed,96,100,100
166,166,male,group C,high school,free/reduced,completed,53,51,51
167,167,female,group B,master's degree,free/reduced,completed,58,76,78
168,168,female,group B,high school,standard,completed,68,83,78
169,169,female,group C,some college,free/reduced,completed,67,75,70
170,170,male,group A,high school,standard,completed,72,73,74
171,171,male,group E,some high school,standard,none,94,88,78
172,172,female,group D,some college,standard,none,79,86,81
173,173,female,group C,associate's degree,standard,none,63,67,70
174,174,female,group C,bachelor's degree,free/reduced,completed,43,51,54
175,175,female,group C,master's degree,standard,completed,81,91,87
176,176,female,group B,high school,free/reduced,completed,46,54,58
177,177,female,group C,associate's degree,standard,completed,71,77,77
178,178,female,group B,master's degree,free/reduced,completed,52,70,62
179,179,female,group D,some high school,standard,completed,97,100,100
180,180,male,group C,master's degree,free/reduced,completed,62,68,75
181,181,female,group C,some college,free/reduced,none,46,64,66
182,182,female,group E,high school,standard,none,50,50,47
183,183,female,group D,associate's degree,standard,none,65,69,70
184,184,male,group C,some high school,free/reduced,completed,45,52,49
185,185,male,group C,associate's degree,free/reduced,completed,65,67,65
186,186,male,group E,high school,standard,none,80,76,65
187,187,male,group D,some high school,standard,completed,62,66,68
188,188,male,group B,some high school,free/reduced,none,48,52,45
189,189,female,group C,bachelor's degree,standard,none,77,88,87
190,190,female,group E,associate's degree,standard,none,66,65,69
191,191,male,group D,some college,standard,completed,76,83,79
192,192,female,group B,some high school,standard,none,62,64,66
193,193,male,group D,some college,standard,completed,77,62,62
194,194,female,group C,master's degree,standard,completed,69,84,85
195,195,male,group D,associate's degree,standard,none,61,55,52
196,196,male,group C,some high school,free/reduced,completed,59,69,65
197,197,male,group E,high school,free/reduced,none,55,56,51
198,198,female,group B,some college,free/reduced,none,45,53,55
199,199,female,group B,bachelor's degree,free/reduced,none,78,79,76
200,200,female,group C,associate's degree,standard,completed,67,84,86
201,201,female,group D,some college,free/reduced,none,65,81,77
202,202,male,group C,associate's degree,standard,none,69,77,69
203,203,female,group B,associate's degree,standard,none,57,69,68
204,204,male,group C,some college,standard,none,59,41,42
205,205,male,group D,some high school,standard,completed,74,71,78
206,206,male,group E,bachelor's degree,standard,none,82,62,62
207,207,male,group E,high school,standard,completed,81,80,76
208,208,female,group B,some college,free/reduced,none,74,81,76
209,209,female,group B,some college,free/reduced,none,58,61,66
210,210,male,group D,some high school,free/reduced,completed,80,79,79
211,211,male,group C,some college,free/reduced,none,35,28,27
212,212,female,group C,high school,free/reduced,none,42,62,60
213,213,male,group C,associate's degree,free/reduced,completed,60,51,56
214,214,male,group E,high school,standard,completed,87,91,81
215,215,male,group B,some high school,standard,completed,84,83,75
216,216,female,group E,associate's degree,free/reduced,completed,83,86,88
217,217,female,group C,high school,free/reduced,none,34,42,39
218,218,male,group B,high school,free/reduced,none,66,77,70
219,219,male,group B,some high school,standard,completed,61,56,56
220,220,female,group D,high school,standard,completed,56,68,74
221,221,male,group B,associate's degree,standard,none,87,85,73
222,222,female,group C,some high school,free/reduced,none,55,65,62
223,223,male,group D,some high school,standard,none,86,80,75
224,224,female,group B,associate's degree,standard,completed,52,66,73
225,225,female,group E,master's degree,free/reduced,none,45,56,54
226,226,female,group C,some college,standard,none,72,72,71
227,227,male,group D,high school,standard,none,57,50,54
228,228,male,group A,some high school,free/reduced,none,68,72,64
229,229,female,group C,some college,standard,completed,88,95,94
230,230,male,group D,some college,standard,none,76,64,66
231,231,male,group C,associate's degree,standard,none,46,43,42
232,232,female,group B,bachelor's degree,standard,none,67,86,83
233,233,male,group E,some high school,standard,none,92,87,78
234,234,male,group C,bachelor's degree,standard,completed,83,82,84
235,235,male,group D,associate's degree,standard,none,80,75,77
236,236,male,group D,bachelor's degree,free/reduced,none,63,66,67
237,237,female,group D,some high school,standard,completed,64,60,74
238,238,male,group B,some college,standard,none,54,52,51
239,239,male,group C,associate's degree,standard,none,84,80,80
240,240,male,group D,high school,free/reduced,completed,73,68,66
241,241,female,group E,bachelor's degree,standard,none,80,83,83
242,242,female,group D,high school,standard,none,56,52,55
243,243,male,group E,some college,standard,none,59,51,43
244,244,male,group D,some high school,standard,none,75,74,69
245,245,male,group C,associate's degree,standard,none,85,76,71
246,246,male,group E,associate's degree,standard,none,89,76,74
247,247,female,group B,high school,standard,completed,58,70,68
248,248,female,group B,high school,standard,none,65,64,62
249,249,male,group C,high school,standard,none,68,60,53
250,250,male,group A,some high school,standard,completed,47,49,49
251,251,female,group D,some college,free/reduced,none,71,83,83
252,252,female,group B,some high school,standard,completed,60,70,70
253,253,male,group D,master's degree,standard,none,80,80,72
254,254,male,group D,high school,standard,none,54,52,52
255,255,female,group E,some college,standard,none,62,73,70
